city,street,endNode
"Boston, MA",NA,Surface Artery
"Boston, MA",NA,Exit 24C: I-93 S / Quincy
"Boston, MA",,to S Station
"Boston, MA",,Fid Kennedy Ave
"Boston, MA",,Boylston St
"Boston, MA",,Cummington St
"Boston, MA",NA,Porter St
"Boston, MA",NA,Frontage Rd
"Boston, MA",NA,to Terminals A B C E / Central Parking
"Boston, MA",Auckland St,Savin Hill Ave
"Boston, MA",Aldworth St,Centre St
"Boston, MA",NA,William T Morrissey Blvd
"Boston, MA",NA,to Boston / SR-1A S to I-93 N / Sumner Tunnel / Revere / SR-1A N
"Boston, MA",Blue Hill Ave,Otisfield St
"Boston, MA",NA,William J Day Blvd
"Boston, MA",NA,Jamaicaway
"Boston, MA",NA,Exit 24B: I-93 N / Concord NH
"Boston, MA",,Chelsea St
"Boston, MA",,Exit 25: S Boston
"Boston, MA",,Causeway St
"Boston, MA",Austin St,Charlestown Ave
"Boston, MA",Alexander St,Oleander St
"Boston, MA",,Congress St
"Boston, MA",Columbia Rd,Brunswick St
"Boston, MA",,Atlantic Ave
"Boston, MA",,Brookline Ave
"Boston, MA",,Boylston St to the right of the median
"Boston, MA",,Gallivan Blvd
"Boston, MA",,G St
"Boston, MA",NA,Charles St
"Boston, MA",NA,to I-93 / Leverett Cir
"Boston, MA",,Broadway
"Boston, MA",,Clipper Ship Ln
"Boston, MA",NA,Exit 26: MA-28 N / Storrow Dr
"Boston, MA",Ave de Lafayette,Harrison Ave Ext
"Boston, MA",NA,Cambridge St
"Boston, MA",,Exit 26: Storrow Dr
"Boston, MA",NA,Terminal C Departures
"Boston, MA",,Bridge St
"Boston, MA",,Day St
"Boston, MA",,Linden St
"Boston, MA",,Broadlawn Park
"Boston, MA",,Hancock St
"Boston, MA",,Haviland St
"Boston, MA",,Boston Wharf Rd
"Boston, MA",,D St
"Boston, MA",Ayles Rd,Safford St
"Boston, MA",NA,Jersey St
"Boston, MA",NA,Express to Airport
"Boston, MA",,Deer Island Rd
"Boston, MA",NA,Fid Kennedy Ave
"Boston, MA",Alger St,NA
"Boston, MA",,Huntington Ave
"Boston, MA",,Leverett Cir
"Boston, MA",,Cummins Hwy
"Boston, MA",Columbia Rd,Douglas St
"Boston, MA",,Farnsworth St
"Boston, MA",,Leon St
"Boston, MA",,Gainsborough St
"Boston, MA",,Dartmouth St
"Boston, MA",Baker St,Centre St
"Boston, MA",,Frontage Rd
"Boston, MA",NA,I-93 N
"Boston, MA",,to US-1 N / Tobin Br
"Boston, MA",,E Broadway
"Boston, MA",NA,George R Visconti Rd
"Boston, MA",Allen's Alley,NA
"Boston, MA",,Lomasney Way
"Boston, MA",,Msgr William Casey Hwy
"Boston, MA",Columbia Rd,Farragut Rd
"Boston, MA",,Jeffries St
"Boston, MA",,Mass Ave CONN
"Boston, MA",,Jewish War Veterans Dr
"Boston, MA",,Brighton Ave
"Boston, MA",,Enneking Pkwy
"Boston, MA",Ballou Ave,Mountain Ave
"Boston, MA",,to I-90 W / I-93 S / Boston / Williams Tunnel / Mass Pike
"Boston, MA",NA,to MA-1A / I- 93 N / Boston / Revere
"Boston, MA",NA,Old Colony Ave
"Boston, MA",,New Chardon St
"Boston, MA",,to Arrivals / Central Parking
"Boston, MA",,Northern Ave
"Boston, MA",,Meridian St
"Boston, MA",NA,Beacon St
"Boston, MA",Bartlett St,NA
"Boston, MA",,Francis Parkman Dr
"Boston, MA",NA,Lomasney Way
"Boston, MA",,Walnut Ave
"Boston, MA",,St. Stephen St
"Boston, MA",,George R Visconti Rd
"Boston, MA",NA,Charlesgate
"Boston, MA",NA,to I-90 W / I-93 S / Boston / Williams Tunnel / Mass Pike
"Boston, MA",,Surface Rd
"Boston, MA",Bartlett St,Trenton St
"Boston, MA",,Perkins St
"Boston, MA",,Exit 26: SR-28 N / Leverett Cir / North Station
"Boston, MA",,Morton St
"Boston, MA",,Freeport St
"Boston, MA",NA,New Rutherford Ave
"Boston, MA",13th St,Chelsea St
"Boston, MA",16th St,1st Ave
"Boston, MA",NA,to Storrow Dr / MA-3 N
"Boston, MA",,Jersey St
"Boston, MA",,Storrow Dr W / SR-28 S
"Boston, MA",NA,Columbus Ave
"Boston, MA",,Terminal A Departures
"Boston, MA",NA,Hancock St
"Boston, MA",Allstate Rd,Willow Ct
"Boston, MA",,I-93 N
"Boston, MA",,W Dedham St
"Boston, MA",,Old Colony Ave
"Boston, MA",1st Ave,Thirteenth St
"Boston, MA",NA,Terminal B Departures
"Boston, MA",,Rutherford Ave
"Boston, MA",Columbia Rd,G St
"Boston, MA",,London St
"Boston, MA",,to I-93 S / Dorchester / Quincy
"Boston, MA",NA,University Dr W
"Boston, MA",NA,Exit 22: Prudential Ctr
"Boston, MA",NA,Melnea Cass Blvd
"Boston, MA",Alpheus Rd,Beech St
"Boston, MA",6th St,3rd Ave
"Boston, MA",Beach St,South St
"Boston, MA",,Austin St
"Boston, MA",,S Huntington Ave
"Boston, MA",3rd Ave,NA
"Boston, MA",,Commonwealth Ave
"Boston, MA",,to Mount Vernon St
"Boston, MA",,Terminal A Arrivals
"Boston, MA",,Washington St
"Boston, MA",,Nonantum Rd
"Boston, MA","""N"" St",E Sixth St
"Boston, MA",Beach St,Washington St
